Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
198902277,The Wedding People,Alison Espach,"Espach, Alison",,"=""""","=""""",5,4.09,Henry Holt and Company,Hardcover,367,2024,2024,2025/07/19,2025/08/16,,,read,,,,1,0
25489025,The Vegetarian,Han Kang,"Kang, Han",Deborah Smith,"=""0553448188""","=""9780553448184""",0,3.65,Hogarth,Hardcover,188,2016,2007,2025/08/13,2025/08/13,,,read,,,,1,0
34211669,Hot Cop,Laurelin Paige,"Paige, Laurelin",Sierra Simone,"=""1942835213""","=""9781942835219""",0,3.99,Paige Press and Sierra Simone,Kindle Edition,288,2017,2017,2025/07/30,2025/08/01,,,read,,,,1,0
127305853,The Women,Kristin Hannah,"Hannah, Kristin",,"=""1250178630""","=""9781250178633""",5,4.59,St. Martin's Press,Hardcover,471,2024,2024,2025/07/27,2025/08/01,,,read,,,,1,0
83674,The Bridges of Madison County,Robert James Waller,"Waller, Robert James",,"=""0446364495""","=""9780446364492""",5,3.71,Grand Central Publishing,Mass Market Paperback,182,1995,1992,2025/07/29,2025/07/29,,,read,,,,1,0
127611580,"Leather & Lark (The Ruinous Love Trilogy, #2)",Brynne Weaver,"Weaver, Brynne",,"=""0349441588""","=""9780349441580""",0,4.00,Zando,Paperback,390,2024,2024,2025/07/28,2025/07/28,,,read,,,,1,0
196915235,"Butcher & Blackbird (The Ruinous Love Trilogy, #1)",Brynne Weaver,"Weaver, Brynne",,"=""""","=""""",0,4.01,Zando,Kindle Edition,355,2023,2023,2025/07/27,2025/07/27,,,read,,,,1,0
38233153,"Sinner (Priest, #2)",Sierra Simone,"Simone, Sierra",,"=""""","=""""",0,3.90,,Kindle Edition,400,2018,2018,2025/07/22,2025/07/25,,,read,,,,1,0
25507389,"Priest (Priest, #1)",Sierra Simone,"Simone, Sierra",,"=""""","=""""",0,3.55,,Kindle Edition,354,2015,2015,2025/07/14,2025/07/25,,,read,,,,1,0
200484931,"Swan Song (Nantucket, #4)",Elin Hilderbrand,"Hilderbrand, Elin",,"=""0316258873""","=""9780316258876""",2,4.04,"Little, Brown and Company",Hardcover,384,2024,,2025/07/06,2025/07/06,,,read,,,,1,0
40163119,Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,"Keefe, Patrick Radden",,"=""0385521316""","=""9780385521314""",5,4.47,Doubleday,Hardcover,441,2019,2018,2025/07/03,2025/07/03,,,read,,,,1,0
