Title,Authors,Description,First Day On List,Highest Rank,Weeks On List
THE YELLOW HOUSE,Sarah M. Broom,Identity and inequality are explored in the history of a family and home in New Orleans both before and after Hurricane Katrina.,2019-09-01,11,1
THEFT BY FINDING,David Sedaris,"Excerpts from the writer’s diaries, 1977-2002.",2017-06-18,3,7
THEM,Ben Sasse,The Republican senator from Nebraska prescribes human interaction to counteract elevated levels of modern isolation and division.,2018-11-04,15,1
THEODORE ROOSEVELT FOR THE DEFENSE,Dan Abrams and David Fisher,The 1915 courtroom fight between William Barnes and the former president who had accused him of political corruption.,2019-06-09,12,2
THESE TRUTHS,Jill Lepore,"An investigation of truth in America traced through its intertwining histories of politics, law, technology and journalism.",2018-10-07,4,4
THINGS THAT MATTER,Charles Krauthammer,Essays and reflections from the recently deceased conservative columnist.,2015-01-04,17,0
THIS FIGHT IS OUR FIGHT,Elizabeth Warren,The Massachusetts senator offers a program for Democratic resistance to President Trump.,2017-05-07,1,6
THIS IS ME,Chrissy Metz,A star of “This Is Us” describes her journey toward self-acceptance.,2018-04-15,2,4
THIS LIFE I LIVE,Rory Feek,"The songwriter describes his difficult childhood, love for his wife, and her death from cancer in 2016.",2017-03-05,2,4
THIS WILL ONLY HURT A LITTLE,Busy Philipps,A memoir by the actress and host of the late-night talk show “Busy Tonight.”,2018-11-04,6,1
THOMAS JEFFERSON AND THE TRIPOLI PIRATES,Brian Kilmeade and Don Yaeger,The war against the Barbary pirates in 1801.,2015-11-22,2,17
THREE DAYS AT THE BRINK,Bret Baier with Catherine Whitney,"The Fox News host describes a meeting between Franklin D. Roosevelt, Winston Churchill and Joseph Stalin in Tehran during World War II.",2019-11-10,5,3
THREE DAYS IN JANUARY,Bret Baier with Catherine Whitney,Eisenhower’s farewell address and his role in the Kennedy transition.,2017-01-29,2,7
THREE DAYS IN MOSCOW,Bret Baier and Catherine Whitney,The Fox News anchor describes Ronald Reagan’s 1988 visit to the Soviet capital.,2018-06-03,5,5
THREE WOMEN,Lisa Taddeo,"The inequality of female desire is explored through the sex lives of a homemaker, a high school student and a restaurant owner.",2019-07-28,2,11
TIME PIECES,John Banville,A memoir based on the author's experiences and imaginings of Dublin.,2018-03-18,14,1
TO SHAKE THE SLEEPING SELF,Jedidiah Jenkins,"The son of conservative Christians cycles from Oregon to Patagonia, reconciling his sexuality with his upbringing.",2018-10-21,8,1
TOGETHER WE RISE,Women's March Organizers and Condé Nast,Photographs and profiles of the organizers and participants of the 2017 Women’s March.,2018-02-04,5,1
TOUCHED BY THE SUN,Carly Simon,The singer and songwriter describes her friendship with Jacqueline Kennedy Onassis.,2019-11-10,10,1
TOUGH LOVE,Susan Rice,The former national security adviser and U.S. ambassador to the United Nations gives an insider's perspective on some of the country's most pivotal moments of the 21st century.,2019-10-27,6,1
TRIBE,Sebastian Junger,"How modern society’s loss of the sense of belonging — now achieved mostly in the military and in disasters — has led to income inequality, incivility and mental disorders like PTSD.",2016-06-12,5,8
TRICK MIRROR,Jia Tolentino,"Nine essays delving into late capitalism, online engagement and the author’s personal history.",2019-08-25,2,5
TRIGGERED,Donald Trump Jr,Forays into politics and views on liberals from the executive vice president of the Trump Organization.,2019-11-24,1,6
TROUBLEMAKER,Leah Remini and Rebecca Paley,The actress describes her life in Scientology and the aftermath of her break with the church in 2013.,2015-11-22,1,6
TRUMP REVEALED,Michael Kranish and Marc Fisher,A biography by two Washington Post editors based on the work of more than 20 of the paper’s reporters and fact-checkers.,2016-09-11,13,2
TRUMP VS. CHINA,Newt Gingrich,The former speaker of the House gives his take on the potential threat posed by the Chinese Communist Party.,2019-11-10,13,1
TRUMP'S AMERICA,Newt Gingrich,The former speaker of the House’s views on the achievements of and obstacles facing the current administration.,2018-06-24,2,6
TRUMP'S ENEMIES,Corey R. Lewandowski and David N. Bossie,The authors of “Let Trump Be Trump” give their perspectives on the president’s foes.,2018-12-16,11,1
TRUMP'S WAR,Michael Savage,The radio host discusses the challenges President Trump faces as he strives to fulfill his promises.,2017-04-02,1,3
TRUMPOCRACY,David Frum,A former speechwriter for George W. Bush argues how the current president might push America to become an illiberal democracy.,2018-02-04,6,4
TURNING THE TABLES,Teresa Giudice,"One of the “Real Housewives of New Jersey” looks back on her life, including time in prison following a federal fraud conviction.",2016-02-28,5,2
TWO PATHS,John Kasich with Daniel Paisner,The Ohio governor reflects on the 2016 election.,2017-05-14,13,1
UNASHAMED,Lecrae Moore,Memoir of the two-time Grammy Award-winning rap artist.,2016-05-22,19,0
UNBELIEVABLE,Katy Tur,The NBC News correspondent describes her work covering the 2016 campaign of the Republican nominee for president and his behavior toward her.,2017-10-01,2,5
UNBROKEN,Laura Hillenbrand,"An Olympic runner’s story of survival as a prisoner of the Japanese during World War II. Read by Edward Herrmann. 13 hours, 56 minutes unabridged.",2015-01-04,5,191
UNDERSTANDING TRUMP,Newt Gingrich,The former House speaker explains the president’s philosophy and political agenda.,2017-07-02,1,8
UNFAITHFUL MUSIC AND DISAPPEARING INK,Elvis Costello,"The musician describes his childhood, life and career.",2015-11-01,7,2
UNFORGETTABLE,Scott Simon,"The NPR host recalls his mother’s glamorous life and describes her last days, expanded from his Twitter messages.",2015-04-19,14,1
UNFREEDOM OF THE PRESS,Mark R. Levin,The conservative commentator and radio host makes his case that the press is aligned with political ideology.,2019-06-09,1,16
UNHINGED,Omarosa Manigault Newman,The reality TV star and former White House staffer describes her time and relationship with Donald Trump.,2018-09-02,1,5
UNHOLY ALLIANCE,Jay Sekulow,The threat to the United States of shariah law and the dangers of Islamist radicalism.,2016-10-09,17,0
UNIFIED,Tim Scott and Trey Gowdy,Two Republican lawmakers from South Carolina use their relationship as a model for overcoming differences.,2018-04-22,14,1
UNITED,Cory Booker,Finding common ground and advancing the common good.,2016-03-06,20,0
UNLIKEABLE,Edward Klein,An unflattering portrait of Hillary Clinton.,2015-10-18,14,1
UNMASKED,Andrew Lloyd Webber,"A memoir by the musical theater composer and impresario, whose works include “The Phantom of the Opera,” “Cats” and “Evita.”",2018-03-25,9,1
UPHEAVAL,Jared Diamond,The ways in which six countries outlasted recent crises and adopted selective changes.,2019-05-26,13,3
UPSTREAM,Mary Oliver,"The poet’s essays, many close observations of the natural world.",2016-10-30,7,6
VALIANT AMBITION,Nathaniel Philbrick,The relationship between George Washington and Benedict Arnold.,2016-05-29,5,7
VOICES IN THE OCEAN,Susan Casey,"The study of dolphins: the research on their brains, their cultural significance and the current threats against them.",2015-08-23,13,2
WAKE UP AMERICA,Eric Bolling,The Fox News Channel personality describes nine key American virtues that he maintains are under attack by President Obama and Hillary Clinton.,2016-07-17,5,5
WAR ON PEACE,Ronan Farrow,The Pulitzer Prize-winning journalist chronicles the deterioration of American diplomacy.,2018-05-13,3,5
WE FED AN ISLAND,José Andrés with Richard Wolffe,The chef and humanitarian describes his mission to feed residents of Puerto Rico after Hurricane Maria.,2018-09-30,15,1
WE WERE EIGHT YEARS IN POWER,Ta-Nehisi Coates,"A series of essays that cover each year of the Obama administration, the writer's own journey and the echoes of American history in modern times.",2017-10-22,2,11
WE'RE GOING TO NEED MORE WINE,Gabrielle Union,"Essays by the actress and activist on love, step-parenting and living beyond personal tragedy.",2017-11-05,7,4
WES ANDERSON COLLECTION: THE GRAND BUDAPEST HOTEL,Matt Zoller Seitz,A companion volume to the film.,2015-03-15,19,0
WEST OF EDEN,Jean Stein,An oral history of five significant Los Angeles families.,2016-02-28,13,1
WHAT DOES THIS BUTTON DO?,Bruce Dickinson,"The lead singer of Iron Maiden discusses his time as a competitive fencer, airline pilot and cancer survivor.",2017-11-19,10,1
WHAT HAPPENED,Hillary Clinton,An inside look at her campaign and how she recovered in its aftermath.,2017-10-01,1,16
WHAT TRUTH SOUNDS LIKE,Michael Eric Dyson,"The outcomes from a meeting between James Baldwin and other prominent artists, and Robert F. Kennedy.",2018-06-24,12,2
WHAT UNITES US,Dan Rather and Elliot Kirschner,A collection of essays that define the historical changes and essential institutions of America to suggest ways to overcome divisions within the country.,2017-11-26,8,3
WHEN THEY CALL YOU A TERRORIST,Patrisse Kahn-Cullors and asha bandele,"Reflections on love, justice and humanity from a founder of Black Lives Matter.",2018-02-04,12,2
WHERE DO I BEGIN?,Elvis Duran,The syndicated morning radio host recalls the highlights and ignominious moments of his career.,2019-10-20,13,1
WHERE I AM,Billy Graham,"The evangelist shares his vision of Heaven, the afterlife and eternity.",2015-10-25,16,0
WHERE THE LIGHT ENTERS,Jill Biden,"The former second lady’s challenges in being a mother, educator and political spouse.",2019-05-26,10,1
WHERE YOU GO IS NOT WHO YOU'LL BE,Frank Bruni,The New York Times columnist urges students and their parents to give up the high-stakes competition for Ivy League admission and consider other types of schools and other measures of success.,2015-04-05,6,4
WHISTLESTOP,John Dickerson,"Stories from more than 200 years of presidential campaign history, by the ""Face the Nation"" moderator.",2016-08-21,16,1
WHITE TRASH,Nancy Isenberg,The role of the white poor in American history.,2016-07-10,8,11
WHO THOUGHT THIS WAS A GOOD IDEA?,Alyssa Mastromonaco with Lauren Oyler,"A memoir by an aide to Barack Obama for 10 years, starting in her 20s.",2017-04-09,10,2
WHY BUDDHISM IS TRUE,Robert Wright,The latest research in neuroscience and psychology is used to support the assertion that Buddhist meditation and practice can lead to a deeper understanding of the world.,2017-08-27,3,6
WHY NOT ME?,Mindy Kaling,"More personal essays from the comedian and actress, the creator of ""The Mindy Project.""",2015-10-04,1,16
WHY THE RIGHT WENT WRONG,E.J. Dionne Jr,Republican politics from Goldwater onward.,2016-02-07,12,2
WILDFLOWER,Drew Barrymore,"The actress's memoir takes the form of personal essays about her past, including her difficult upbringing and her experience in working with Steven Spielberg on ""E.T.,"" the role that turned her into a child star.",2015-11-15,9,3
WILL MY CAT EAT MY EYEBALLS?,Caitlin Doughty,A funeral director answers 35 questions from children about death.,2019-09-29,8,1
WITCH HUNT,Gregg Jarrett,The Fox News commentator offers his analysis of the Mueller Report.,2019-10-27,3,2
WITH ALL DUE RESPECT,Nikki R. Haley,A memoir by the former United States ambassador to the United Nations and governor of South Carolina.,2019-12-01,3,2
WOMEN & POWER,Mary Beard,A look at the roots of misogyny and its manifestations today.,2018-01-21,14,1
WOMEN ROWING NORTH,Mary Pipher,"Reflections on the ageism, misogyny and loss that women might encounter as they grow older.",2019-02-03,3,10
WORDS WITHOUT MUSIC,Philip Glass,"The composer's memoir recalls family, teachers and friends and offers insights about his music.",2015-04-26,15,1
WORKING,Robert A. Caro,The Pulitzer Prize-winning biographer shares insights into his craft.,2019-04-28,6,3
"WRITER, SAILOR, SOLDIER, SPY",Nicholas Reynolds,"Ernest Hemingway’s involvement with espionage, both Soviet and American.",2017-04-02,14,1
WRITING MY WRONGS,Shaka Senghor,A memoir by a former drug dealer who spent 19 years in prison describes how writing helped him turn his life around.,2016-03-27,17,0
WRITTEN OUT OF HISTORY,Mike Lee,"Early Americans who warned against a central government, by the Republican senator from Utah.",2017-06-18,15,1
YEAR OF THE MONKEY,Patti Smith,"A memoir by the musician and artist surveys events during 2016, including a visit to see dying friends and a sea change in the political landscape.",2019-10-13,9,2
YES PLEASE,Amy Poehler,"A humorous miscellany from the comedian and actress, an “S.N.L.” alumna and the star of “Parks and Recreation.”",2015-01-04,1,26
YES WE (STILL) CAN,Dan Pfeiffer,The former White House communications director prescribes a way forward for Democrats.,2018-07-08,1,3
YOU ARE THE UNIVERSE,Deepak Chopra and Menas Kafatos,Defining a human universe in which each of us is a co-creator of reality.,2017-02-26,7,2
YOU CAN'T SPELL AMERICA WITHOUT ME,Alec Baldwin and Kurt Andersen,A satirical memoir of the 45th president's first year in office.,2017-11-26,14,1
YOU DON'T HAVE TO SAY YOU LOVE ME,Sherman Alexie,The Indian writer’s memoir of his complicated relationship with his mother.,2017-07-02,10,5
YOU DON'T LOOK YOUR AGE ... AND OTHER FAIRY TALES,Sheila Nevins,"A TV producer’s miscellaney about women and work, family and aging.",2017-05-21,14,1
YOU'LL GROW OUT OF IT,Jessi Klein,"Humorous essays on being a woman by the head writer of ""Inside Amy Schumer.""",2016-07-31,10,2
YOU'RE NEVER WEIRD ON THE INTERNET (ALMOST),Felicia Day,A memoir of rising to stardom in the web video world.,2015-08-30,3,4
