Title,Authors,Description,First Day On List,Highest Rank,Weeks On List
FINDING MY VOICE,Valerie Jarrett,A memoir by President Obama’s longest-serving senior advisor.,2019-04-21,14,1
FIRE AND FURY,Michael Wolff,A journalist offers an inside account of the first year of the Trump White House.,2018-01-21,1,16
FIRST WOMEN,Kate Andersen Brower,"The 10 first ladies since 1960, based on interviews with White House staff, social secretaries and friends, by the author of ""The Residence.""",2016-05-01,6,4
FIRST: SANDRA DAY O'CONNOR,Evan Thomas,A biography of the first female Supreme Court justice.,2019-04-07,10,1
FIVE PRESIDENTS,Clint Hill with Lisa McCubbin,A retired Secret Service agent discusses his experience with presidents from Eisenhower to Ford.,2016-05-22,5,8
FOOD,Jim Gaffigan,"The comedian, author of “Dad Is Fat,” describes his relationship with food.",2015-01-04,20,0
FORTUNATE SON,John Fogerty with Jimmy McDonough,"A memoir by the songwriter, lead singer and lead guitarist of Creedence Clearwater Revival.",2015-10-25,14,2
FORWARD,Abby Wambach,"A memoir by the soccer player, the highest scorer on the United States women’s national team.",2016-10-02,10,1
FRANK,Barney Frank,"Looking back on his career, the former representative describes his pragmatic approach to liberal politics as well as his conflicts over revealing his sexuality.",2015-04-05,11,1
FREEDOM,Jaycee Dugard,"In a follow-up to ""A Stolen Life,"" Dugard, who was kidnapped as a child and held for 18 years, describes her adjustment to a new life.",2016-07-31,6,2
FROM COLD WAR TO HOT PEACE,Michael McFaul,The former U.S. ambassador to Russia details how the Kremlin sought to discredit him after Putin's rise to power.,2018-08-05,13,1
FROM HERE TO ETERNITY,Caitlin Doughty,"An American undertaker chronicles the diversity of death practices around the globe, the better to argue for changes at home.",2017-10-22,9,1
FROM SCRATCH,Tembi Locke,"A black American woman marries a Sicilian man, and finds solace in food and family after tragedy strikes.",2019-05-19,14,1
FROM THE CORNER OF THE OVAL,Beck Dorey-Stein,A memoir by a woman who went from working many part-time jobs to becoming one of President Obama's stenographers.,2018-08-05,11,2
FULL DISCLOSURE,Stormy Daniels with Kevin Carr O'Leary,The adult film actress and director recounts her road to the national spotlight and experiences with President Trump.,2018-10-21,11,1
